dataset,backbone,k,mean,std
cars,dinov2,1,0.6343945860862732,0.12628619372844696
cars,dinov2,2,0.7232746481895447,0.11514222621917725
cars,dinov2,4,0.7956532835960388,0.10307236015796661
cars,dinov2,16,0.8857813477516174,0.07792852818965912
cars,clip,1,0.7925199866294861,0.10347603261470795
cars,clip,2,0.8800359964370728,0.07915039360523224
cars,clip,4,0.9267067313194275,0.05968926474452019
cars,clip,16,0.9627560377120972,0.03848094493150711
cars,convnext,1,0.6317560076713562,0.12694360315799713
cars,convnext,2,0.7197600603103638,0.11506498605012894
cars,convnext,4,0.7833520174026489,0.10105378180742264
cars,convnext,16,0.8469319939613342,0.0800631046295166
eurosat,dinov2,1,0.645147979259491,0.10809165239334106
eurosat,dinov2,2,0.7399853467941284,0.09258348494768143
eurosat,dinov2,4,0.8036773204803467,0.07812328636646271
eurosat,dinov2,16,0.8601027131080627,0.06300190091133118
eurosat,clip,1,0.6099159717559814,0.10782912373542786
eurosat,clip,2,0.6991786956787109,0.09731464833021164
eurosat,clip,4,0.7596133351325989,0.0848538726568222
eurosat,clip,16,0.8203773498535156,0.06968186050653458
eurosat,convnext,1,0.6247506737709045,0.10425811260938644
eurosat,convnext,2,0.7428905963897705,0.08829081803560257
eurosat,convnext,4,0.8174773454666138,0.07182015478610992
eurosat,convnext,16,0.8856706619262695,0.050362683832645416
