dataset,backbone,head,k,episodes,delta_pp,sem2_pp
cars,dinov2,ridge,1,1000,-0.057687096297740936,0.011880067319125096
cars,dinov2,ridge,2,1000,-0.14523816108703613,0.014575774889930886
cars,dinov2,ridge,4,1000,-0.13343539834022522,0.0147909302724631
cars,dinov2,ridge,16,1000,0.08217694610357285,0.013953534983486183
cars,dinov2,mahalanobis,1,1000,0.048843562602996826,0.01537881569853808
cars,dinov2,mahalanobis,2,1000,-0.1352381408214569,0.023642979008707467
cars,dinov2,mahalanobis,4,1000,0.013197410851716995,0.02068608860998014
cars,dinov2,mahalanobis,16,1000,-0.08431960642337799,0.015186902578504921
cars,clip,ridge,1,1000,-1.7766668796539307,0.023010467533899404
cars,clip,ridge,2,1000,-2.317074775695801,0.026382763190283605
cars,clip,ridge,4,1000,-2.240544319152832,0.028801703874588493
cars,clip,ridge,16,1000,-0.6639796495437622,0.02217413625085718
cars,clip,mahalanobis,1,1000,1.2726870775222778,0.03572295598493913
cars,clip,mahalanobis,2,1000,0.3986054062843323,0.037081332496882176
cars,clip,mahalanobis,4,1000,0.0716666579246521,0.028939040746899635
cars,clip,mahalanobis,16,1000,-0.08197267353534698,0.020449879292477977
cars,convnext,ridge,1,1000,-0.11561225354671478,0.014913615151623939
cars,convnext,ridge,2,1000,-0.3805442452430725,0.01825902792998586
cars,convnext,ridge,4,1000,-0.662244975566864,0.021595384877500585
cars,convnext,ridge,16,1000,-0.3839796185493469,0.023647687399894122
cars,convnext,mahalanobis,1,1000,0.4236055016517639,0.026731691166610567
cars,convnext,mahalanobis,2,1000,0.13380949199199677,0.0342325522636044
cars,convnext,mahalanobis,4,1000,0.4229252338409424,0.03373364751452686
cars,convnext,mahalanobis,16,1000,0.632006824016571,0.02777928370240453
eurosat,dinov2,ridge,1,1000,0.3006667196750641,0.12343361514219306
eurosat,dinov2,ridge,2,1000,0.22800004482269287,0.1049463829136681
eurosat,dinov2,ridge,4,1000,-0.02999994531273842,0.09200712077614318
eurosat,dinov2,ridge,16,1000,-0.4739999771118164,0.0804334805691848
eurosat,dinov2,mahalanobis,1,1000,1.1000001430511475,0.2035542233055111
eurosat,dinov2,mahalanobis,2,1000,1.0413333177566528,0.15242759403077302
eurosat,dinov2,mahalanobis,4,1000,0.6133332848548889,0.11732835851323821
eurosat,dinov2,mahalanobis,16,1000,0.2553333640098572,0.07309435402885762
eurosat,clip,ridge,1,1000,-0.30799993872642517,0.1107506116244331
eurosat,clip,ridge,2,1000,-0.16200008988380432,0.1366289323341314
eurosat,clip,ridge,4,1000,-0.2319999486207962,0.1430363101026085
eurosat,clip,ridge,16,1000,0.02399999275803566,0.1264608807217595
eurosat,clip,mahalanobis,1,1000,0.9626667499542236,0.21042082942815815
eurosat,clip,mahalanobis,2,1000,0.05533333122730255,0.1776782021303395
eurosat,clip,mahalanobis,4,1000,-0.6920002102851868,0.14070105362643215
eurosat,clip,mahalanobis,16,1000,-0.3680000901222229,0.09845696076906102
eurosat,convnext,ridge,1,1000,0.09399998188018799,0.14281357945018872
eurosat,convnext,ridge,2,1000,0.32733336091041565,0.116935771423598
eurosat,convnext,ridge,4,1000,0.16266684234142303,0.0929259695362713
eurosat,convnext,ridge,16,1000,-0.1526665836572647,0.06836748363195691
eurosat,convnext,mahalanobis,1,1000,1.8233333826065063,0.20122094216719047
eurosat,convnext,mahalanobis,2,1000,0.8053334355354309,0.1443110966496413
eurosat,convnext,mahalanobis,4,1000,0.3593333959579468,0.11430819510260343
eurosat,convnext,mahalanobis,16,1000,-0.0179999191313982,0.07049117539221855
