dataset,backbone,N,silhouette
cars,dinov2,5,0.12741702335576216
cars,dinov2,10,0.06947408616542816
cars,dinov2,49,0.008820158792271588
cars,dinov2,196,-0.03069699052721262
cars,clip,5,0.1455839457611243
cars,clip,10,0.1080868070324262
cars,clip,49,0.04582950907448927
cars,clip,196,0.003692413676374902
eurosat,dinov2,2,0.19095778136203687
eurosat,dinov2,5,0.10881916756431262
eurosat,dinov2,10,0.06443006023764611
eurosat,clip,2,0.22105231589327257
eurosat,clip,5,0.11845966403683027
eurosat,clip,10,0.06888908756275972
