dataset,backbone,method,k,C,episodes,mean,std
eurosat,clip,text_only,1,10,10000,0.3777919709682464,0.0308484844863414
eurosat,clip,text_only,2,10,10000,0.3779553472995758,0.0308265220373868
eurosat,clip,text_only,4,10,10000,0.3777713179588318,0.0305361300706863
eurosat,clip,text_only,16,10,10000,0.3782940208911896,0.0308710280805826
eurosat,clip,proto_text,1,10,10000,0.5163453221321106,0.0605615712702274
eurosat,clip,proto_text,2,10,10000,0.6134653091430664,0.050367496907711
eurosat,clip,proto_text,4,10,10000,0.6771667003631592,0.042148932814598
eurosat,clip,proto_text,16,10,10000,0.7346706986427307,0.0348083525896072
eurosat,clip,mahal_text,1,10,10000,0.5116046667098999,0.0627862438559532
eurosat,clip,mahal_text,2,10,10000,0.6053159832954407,0.0539648830890655
eurosat,clip,mahal_text,4,10,10000,0.7112593054771423,0.0431277677416801
eurosat,clip,mahal_text,16,10,10000,0.8416086435317993,0.0297169312834739
cars,clip,text_only,1,196,10000,0.5406553149223328,0.0069307978264987
cars,clip,text_only,2,196,10000,0.5405479669570923,0.0069482950493693
cars,clip,text_only,4,196,10000,0.5406269431114197,0.00699024181813
cars,clip,text_only,16,196,10000,0.5407447814941406,0.0069429548457264
cars,clip,proto_text,1,196,10000,0.3828870058059692,0.0118395928293466
cars,clip,proto_text,2,196,10000,0.4920960664749145,0.0108018340542912
cars,clip,proto_text,4,196,10000,0.578326940536499,0.0097225671634078
cars,clip,proto_text,16,196,10000,0.6750229001045227,0.0081582050770521
cars,clip,mahal_text,1,196,10000,0.2377186417579651,0.010115697979927063
cars,clip,mahal_text,2,196,10000,0.4099571108818054,0.012199671939015388
cars,clip,mahal_text,4,196,10000,0.55703204870224,0.010644225403666496
cars,clip,mahal_text,16,196,10000,0.7385165095329285,0.007895507849752903
eurosat,dinov2,mahalanobis_ts,1,10,10000,0.526135265827179,0.0626656711101532
eurosat,clip,mahalanobis_ts,1,10,10000,0.49065136909484863,0.06433799117803574
eurosat,convnext,mahalanobis_ts,1,10,10000,0.5138359665870667,0.0612594336271286
cars,dinov2,mahalanobis_ts,1,196,10000,0.17292828857898712,0.009389066137373447
cars,clip,mahalanobis_ts,1,196,10000,0.1915205419063568,0.010430856607854366
cars,convnext,mahalanobis_ts,1,196,10000,0.0868457779288292,0.007035144604742527
