dataset,backbone,method,k,C,episodes,mean,std
cars,dinov2,loo_ridge,1,196,2000,0.1998746693134308,0.0093708764761686
cars,dinov2,loo_ridge,2,196,2000,0.2977328300476074,0.0255812592804431
cars,dinov2,loo_ridge,4,196,2000,0.4440443813800812,0.0130077563226223
cars,dinov2,loo_ridge,16,196,2000,0.6706279516220093,0.0087402239441871
cars,dinov2,mahalanobis,1,196,2000,0.1443299502134323,0.0083000501617789
cars,dinov2,mahalanobis,2,196,2000,0.3540278971195221,0.0121882185339927
cars,dinov2,mahalanobis,4,196,2000,0.4979986846446991,0.0113621540367603
cars,dinov2,mahalanobis,16,196,2000,0.6996683478355408,0.0087292240932583
cars,clip,loo_ridge,1,196,2000,0.226573497056961,0.0098798712715506
cars,clip,loo_ridge,2,196,2000,0.2813371121883392,0.0328443050384521
cars,clip,loo_ridge,4,196,2000,0.4321738481521606,0.0139066874980926
cars,clip,loo_ridge,16,196,2000,0.6256656646728516,0.0091468701139092
cars,clip,mahalanobis,1,196,2000,0.2354978173971176,0.0112609658390283
cars,clip,mahalanobis,2,196,2000,0.4021068215370178,0.0126672200858592
cars,clip,mahalanobis,4,196,2000,0.5471889972686768,0.0106161059811711
cars,clip,mahalanobis,16,196,2000,0.7326879501342773,0.0079246629029512
cars,convnext,loo_ridge,1,196,2000,0.1123838499188423,0.0071877185255289
cars,convnext,loo_ridge,2,196,2000,0.1562765389680862,0.0167900193482637
cars,convnext,loo_ridge,4,196,2000,0.2571925222873688,0.0093455072492361
cars,convnext,loo_ridge,16,196,2000,0.4658272266387939,0.0088036125525832
cars,convnext,mahalanobis,1,196,2000,0.1043112352490425,0.0071062203496694
cars,convnext,mahalanobis,2,196,2000,0.1637588590383529,0.0086614079773426
cars,convnext,mahalanobis,4,196,2000,0.2609620690345764,0.0091916043311357
cars,convnext,mahalanobis,16,196,2000,0.4803733229637146,0.0092315478250384
eurosat,dinov2,loo_ridge,1,10,10000,0.527552604675293,0.0628576278686523
eurosat,dinov2,loo_ridge,2,10,10000,0.6432420015335083,0.0526618808507919
eurosat,dinov2,loo_ridge,4,10,10000,0.7381353378295898,0.0421286188066005
eurosat,dinov2,loo_ridge,16,10,10000,0.8575679659843445,0.0298165623098611
eurosat,dinov2,mahalanobis,1,10,10000,0.5093586444854736,0.0623619183897972
eurosat,dinov2,mahalanobis,2,10,10000,0.6344719529151917,0.0535977147519588
eurosat,dinov2,mahalanobis,4,10,10000,0.7380353212356567,0.0427260845899581
eurosat,dinov2,mahalanobis,16,10,10000,0.8666646480560303,0.0285981651395559
eurosat,clip,loo_ridge,1,10,10000,0.4975253343582153,0.063742309808731
eurosat,clip,loo_ridge,2,10,10000,0.6125519871711731,0.0530384331941604
eurosat,clip,loo_ridge,4,10,10000,0.7094267010688782,0.0424674861133098
eurosat,clip,loo_ridge,16,10,10000,0.8309773206710815,0.030544836074113846
eurosat,clip,mahalanobis,1,10,10000,0.47057265043258667,0.06340167671442032
eurosat,clip,mahalanobis,2,10,10000,0.6047360301017761,0.05402291566133499
eurosat,clip,mahalanobis,4,10,10000,0.710414707660675,0.043216630816459656
eurosat,clip,mahalanobis,16,10,10000,0.8411314487457275,0.02977418340742588
eurosat,convnext,loo_ridge,1,10,10000,0.5084220170974731,0.062088415026664734
eurosat,convnext,loo_ridge,2,10,10000,0.6192513108253479,0.05098144710063934
eurosat,convnext,loo_ridge,4,10,10000,0.7138433456420898,0.041762594133615494
eurosat,convnext,loo_ridge,16,10,10000,0.8379640579223633,0.030360063537955284
eurosat,convnext,mahalanobis,1,10,10000,0.4940853416919708,0.06269054114818573
eurosat,convnext,mahalanobis,2,10,10000,0.6182586550712585,0.05167366936802864
eurosat,convnext,mahalanobis,4,10,10000,0.7163960337638855,0.04271781072020531
eurosat,convnext,mahalanobis,16,10,10000,0.8460226058959961,0.029745930805802345
