dataset,backbone,N,k,metric,chance,mean,std
cars,dinov2,196,1,euclidean,0.00510204081632653,0.1446935385465622,0.00835123285651207
cars,dinov2,196,1,cosine,0.00510204081632653,0.14442585408687592,0.008366086520254612
cars,dinov2,196,16,euclidean,0.00510204081632653,0.4035486578941345,0.010007888078689575
cars,dinov2,196,16,cosine,0.00510204081632653,0.4078488051891327,0.010026666335761547
cars,dinov2,98,1,euclidean,0.01020408163265306,0.1938501000404358,0.01583098992705345
cars,dinov2,98,1,cosine,0.01020408163265306,0.1933988630771637,0.015830721706151962
cars,dinov2,98,16,euclidean,0.01020408163265306,0.4951859414577484,0.02101735770702362
cars,dinov2,98,16,cosine,0.01020408163265306,0.4993074834346771,0.02109345607459545
cars,dinov2,49,1,euclidean,0.02040816326530612,0.25980454683303833,0.028381450101733208
cars,dinov2,49,1,cosine,0.02040816326530612,0.2592167854309082,0.028370320796966553
cars,dinov2,49,16,euclidean,0.02040816326530612,0.5922190546989441,0.034637171775102615
cars,dinov2,49,16,cosine,0.02040816326530612,0.5961279273033142,0.03479281812906265
cars,dinov2,10,1,euclidean,0.1,0.4908199906349182,0.08536688983440399
cars,dinov2,10,1,cosine,0.1,0.4902022182941437,0.08534783869981766
cars,dinov2,10,16,euclidean,0.1,0.8055600523948669,0.0679975375533104
cars,dinov2,10,16,cosine,0.1,0.8098466992378235,0.06811828911304474
cars,dinov2,5,1,euclidean,0.2,0.6324666738510132,0.12680362164974213
cars,dinov2,5,1,cosine,0.2,0.6324710845947266,0.1268499195575714
cars,dinov2,5,16,euclidean,0.2,0.8847288489341736,0.07977689802646637
cars,dinov2,5,16,cosine,0.2,0.8883199691772461,0.0799591913819313
cars,clip,196,1,euclidean,0.00510204081632653,0.23567301034927368,0.011308514513075352
cars,clip,196,1,cosine,0.00510204081632653,0.23567301034927368,0.011308514513075352
cars,clip,196,16,euclidean,0.00510204081632653,0.6014654040336609,0.008905334398150444
cars,clip,196,16,cosine,0.00510204081632653,0.6017054319381714,0.008903300389647484
cars,clip,98,1,euclidean,0.01020408163265306,0.31526848673820496,0.0198198314756155
cars,clip,98,1,cosine,0.01020408163265306,0.31526848673820496,0.01981963776051998
cars,clip,98,16,euclidean,0.01020408163265306,0.7008966207504272,0.018321912735700607
cars,clip,98,16,cosine,0.01020408163265306,0.7010603547096252,0.01830797642469406
cars,clip,49,1,euclidean,0.02040816326530612,0.4120190441608429,0.032901059836149216
cars,clip,49,1,cosine,0.02040816326530612,0.4120190441608429,0.032901059836149216
cars,clip,49,16,euclidean,0.02040816326530612,0.7897591590881348,0.02564319595694542
cars,clip,49,16,cosine,0.02040816326530612,0.7898961305618286,0.02572639100253582
cars,clip,10,1,euclidean,0.1,0.6737289428710938,0.08027549833059311
cars,clip,10,1,cosine,0.1,0.6737289428710938,0.08027549833059311
cars,clip,10,16,euclidean,0.1,0.9285133481025696,0.038209497928619385
cars,clip,10,16,cosine,0.1,0.9286088943481445,0.03829794004559517
cars,clip,5,1,euclidean,0.2,0.7881155610084534,0.104802705347538
cars,clip,5,1,cosine,0.2,0.7881155610084534,0.104802705347538
cars,clip,5,16,euclidean,0.2,0.9632755517959595,0.038839779794216156
cars,clip,5,16,cosine,0.2,0.9634667038917542,0.03888040408492088
eurosat,dinov2,10,1,euclidean,0.1,0.510420024394989,0.062103964388370514
eurosat,dinov2,10,1,cosine,0.1,0.5085089206695557,0.061719756573438644
eurosat,dinov2,10,16,euclidean,0.1,0.7697044014930725,0.03471476212143898
eurosat,dinov2,10,16,cosine,0.1,0.7780178189277649,0.03410940617322922
eurosat,dinov2,5,1,euclidean,0.2,0.6448933482170105,0.10907499492168427
eurosat,dinov2,5,1,cosine,0.2,0.6437821984291077,0.10885866731405258
eurosat,dinov2,5,16,euclidean,0.2,0.8577910661697388,0.06381852179765701
eurosat,dinov2,5,16,cosine,0.2,0.8642444610595703,0.061921607702970505
eurosat,dinov2,2,1,euclidean,0.5,0.8500778079032898,0.13953560590744019
eurosat,dinov2,2,1,cosine,0.5,0.8498666882514954,0.14097259938716888
eurosat,dinov2,2,16,euclidean,0.5,0.9505777955055237,0.06789218634366989
eurosat,dinov2,2,16,cosine,0.5,0.9530112147331238,0.06505075842142105
eurosat,clip,10,1,euclidean,0.1,0.4696688652038574,0.06456376612186432
eurosat,clip,10,1,cosine,0.1,0.4696688652038574,0.06456376612186432
eurosat,clip,10,16,euclidean,0.1,0.7185621857643127,0.03707777336239815
eurosat,clip,10,16,cosine,0.1,0.718457818031311,0.03700575605034828
eurosat,clip,5,1,euclidean,0.2,0.6084933280944824,0.10794435441493988
eurosat,clip,5,1,cosine,0.2,0.6084888577461243,0.1079433411359787
eurosat,clip,5,16,euclidean,0.2,0.8202933073043823,0.06969558447599411
eurosat,clip,5,16,cosine,0.2,0.8201422691345215,0.06957858055830002
eurosat,clip,2,1,euclidean,0.5,0.8243000507354736,0.15055584907531738
eurosat,clip,2,1,cosine,0.5,0.8243000507354736,0.15055584907531738
eurosat,clip,2,16,euclidean,0.5,0.935699999332428,0.07370300590991974
eurosat,clip,2,16,cosine,0.5,0.935533344745636,0.0737559124827385
